B01003_001E,county,state,tract
2158.0,005,36,036800
2235.0,005,36,036901
2197.0,005,36,036902
2416.0,005,36,037000
4212.0,005,36,037100
2166.0,005,36,037200
5719.0,005,36,037300
3884.0,005,36,037400
3472.0,005,36,037504
2454.0,005,36,037600
3295.0,005,36,037800
5027.0,005,36,037900
4816.0,005,36,038000
6790.0,005,36,038100
2831.0,005,36,038200
4604.0,005,36,038301
5991.0,005,36,038302
4757.0,005,36,038500
8096.0,005,36,038600
3375.0,005,36,038700
2552.0,005,36,038800
5492.0,005,36,038900
2841.0,005,36,039000
7073.0,005,36,039100
1955.0,005,36,039200
9438.0,005,36,039300
4948.0,005,36,039400
4185.0,005,36,039500
4505.0,005,36,039600
3994.0,005,36,039700
3004.0,005,36,039800
5536.0,005,36,039901
5545.0,005,36,039902
4652.0,005,36,040100
4265.0,005,36,040302
4974.0,005,36,040303
3943.0,005,36,040304
3139.0,005,36,040400
4698.0,005,36,040501
6636.0,005,36,040502
3593.0,005,36,040600
3140.0,005,36,040701
6823.0,005,36,040702
4780.0,005,36,040800
3138.0,005,36,040900
3158.0,005,36,041100
7429.0,005,36,041300
4776.0,005,36,041400
6031.0,005,36,041500
4302.0,005,36,041800
7168.0,005,36,041900
3639.0,005,36,042000
5576.0,005,36,042100
3387.0,005,36,042200
4384.0,005,36,042300
2680.0,005,36,042400
6494.0,005,36,042500
6893.0,005,36,042600
1996.0,005,36,042800
4154.0,005,36,042901
4544.0,005,36,042902
3804.0,005,36,043000
10346.0,005,36,043100
3937.0,005,36,043400
62.0,005,36,043500
2179.0,005,36,043600
3533.0,005,36,044200
3728.0,005,36,044400
2054.0,005,36,044800
1450.0,005,36,044901
1994.0,005,36,044902
1548.0,005,36,045101
1870.0,005,36,045102
2988.0,005,36,045600
5211.0,005,36,045800
2888.0,005,36,046000
29256.0,005,36,046201
9410.0,005,36,046202
4054.0,005,36,048400
65.0,005,36,050400
4034.0,005,36,051600
3267.0,007,36,000100
3159.0,007,36,000200
2604.0,007,36,000300
2003.0,007,36,000400
1910.0,007,36,000500
2133.0,007,36,000600
3579.0,007,36,000700
1667.0,007,36,000900
1903.0,007,36,001100
798.0,007,36,001200
3149.0,007,36,001300
4880.0,007,36,001400
4997.0,007,36,001500
2432.0,007,36,001600
3997.0,007,36,001700
3799.0,007,36,001800
5301.0,007,36,010200
2880.0,007,36,011901
2688.0,007,36,011902
2693.0,007,36,011903
1645.0,007,36,012000
3763.0,007,36,012101
3968.0,007,36,012102
3267.0,007,36,012103
2682.0,007,36,012201
3854.0,007,36,012202
5149.0,007,36,012300
2376.0,007,36,012400
6160.0,007,36,012500
5735.0,007,36,012600
5313.0,007,36,012701
4859.0,007,36,012702
5209.0,007,36,012800
1679.0,007,36,012900
4460.0,007,36,013000
2743.0,007,36,013100
2104.0,007,36,013201
3174.0,007,36,013202
4784.0,007,36,013301
2535.0,007,36,013303
5908.0,007,36,013304
4212.0,007,36,013400
1868.0,007,36,013500
3770.0,007,36,013600
3223.0,007,36,013700
3138.0,007,36,013800
2701.0,007,36,013900
3104.0,007,36,014000
3184.0,007,36,014100
2708.0,007,36,014200
5207.0,007,36,014301
9257.0,007,36,014302
4763.0,007,36,014400
3452.0,007,36,014500
5588.0,007,36,014600
364.0,009,36,940000
0.0,009,36,940200
6298.0,009,36,940300
3428.0,009,36,960100
4232.0,009,36,960200
4840.0,009,36,960300
4142.0,009,36,960400
5280.0,009,36,960500
3532.0,009,36,960600
2512.0,009,36,960702
4466.0,009,36,960800
4087.0,009,36,961000
4251.0,009,36,961100
3743.0,009,36,961200
5361.0,009,36,961300
4969.0,009,36,961400
2181.0,009,36,961500
3835.0,009,36,961600
3255.0,009,36,961700
4720.0,009,36,961800
3010.0,009,36,962200
4640.0,011,36,040100
4901.0,011,36,040200
4092.0,011,36,040300
4365.0,011,36,040400
3430.0,011,36,040500
3572.0,011,36,040600
3730.0,011,36,040700
4708.0,011,36,040800
3992.0,011,36,040900
4829.0,011,36,041000
4444.0,011,36,041100
4979.0,011,36,041200
4050.0,011,36,041300
4471.0,011,36,041400
2822.0,011,36,041500
2307.0,011,36,041600
4179.0,011,36,041700
5041.0,011,36,041800
4231.0,011,36,042100
0.0,011,36,990200
3948.0,013,36,030100
4221.0,013,36,030200
2090.0,013,36,030300
4573.0,013,36,030400
3437.0,013,36,030500
3537.0,013,36,030600
4110.0,013,36,030700
4429.0,013,36,030800
4416.0,013,36,035100
2621.0,013,36,035300
3076.0,013,36,035400
2899.0,013,36,035500
3249.0,013,36,035600
2962.0,013,36,035700
3778.0,013,36,035800
4701.0,013,36,035901
2656.0,013,36,035902
4584.0,013,36,036000
4741.0,013,36,036100
4807.0,013,36,036300
3071.0,013,36,036401
3527.0,013,36,036402
4765.0,013,36,036500
3356.0,013,36,036600
4228.0,013,36,036700
4186.0,013,36,036800
2673.0,013,36,036901
3710.0,013,36,036902
3523.0,013,36,037000
3783.0,013,36,037100
3481.0,013,36,037200
5082.0,013,36,037300
3864.0,013,36,037400
5061.0,013,36,037500
2603.0,013,36,037600
0.0,013,36,990000
2804.0,015,36,000100
2682.0,015,36,000200
1879.0,015,36,000300
2152.0,015,36,000400
3020.0,015,36,000500
3687.0,015,36,000600
2388.0,015,36,000700
3516.0,015,36,000900
3225.0,015,36,001000
3230.0,015,36,001100
3729.0,015,36,010100
5875.0,015,36,010200
7793.0,015,36,010300
3633.0,015,36,010400
2936.0,015,36,010500
2898.0,015,36,010600
7648.0,015,36,010700
3445.0,015,36,010800
5284.0,015,36,010900
3839.0,015,36,011000
6950.0,015,36,011100
5129.0,015,36,011200
5985.0,017,36,970100
4205.0,017,36,970200
3913.0,017,36,970300
3066.0,017,36,970400
5729.0,017,36,970500
4203.0,017,36,970601
4094.0,017,36,970602
2376.0,017,36,970700
3500.0,017,36,970801
3975.0,017,36,970802
5014.0,017,36,970900
3226.0,017,36,971000
5690.0,019,36,100100
4224.0,019,36,100200
6506.0,019,36,100300
7185.0,019,36,100400
5519.0,019,36,100600
3511.0,019,36,100700
4578.0,019,36,100800
5065.0,019,36,100900
4029.0,019,36,101000
2744.0,019,36,101100
2842.0,019,36,101300
1762.0,019,36,101400
1581.0,019,36,101600
5152.0,019,36,101700
5415.0,019,36,101800
7010.0,019,36,101900
3118.0,019,36,102000
2196.0,019,36,102100
3378.0,019,36,102200
2367.0,021,36,000100
1739.0,021,36,000200
4027.0,021,36,000300
2405.0,021,36,000401
6029.0,021,36,000402
2172.0,021,36,000500
2742.0,021,36,000600
5275.0,021,36,000700
1517.0,021,36,000800
1669.0,021,36,000900
5877.0,021,36,001000
4133.0,021,36,001100
3552.0,021,36,001200
2997.0,021,36,001300
3562.0,021,36,001400
1156.0,021,36,001500
3547.0,021,36,001600
1418.0,021,36,001700
1792.0,021,36,001800
2013.0,021,36,001900
1871.0,021,36,002000
3440.0,023,36,970100
5624.0,023,36,970200
3070.0,023,36,970300
2668.0,023,36,970400
3789.0,023,36,970500
2818.0,023,36,970600
5082.0,023,36,970700
2513.0,023,36,970800
4816.0,023,36,970900
5691.0,023,36,971000
4874.0,023,36,971100
4328.0,023,36,971200
4605.0,025,36,970100
2968.0,025,36,970200
2281.0,025,36,970300
5603.0,025,36,970400
4100.0,025,36,970500
5384.0,025,36,970600
2453.0,025,36,970700
3435.0,025,36,970800
1540.0,025,36,970900
3189.0,025,36,971000
2188.0,025,36,971100
3618.0,025,36,971200
1990.0,025,36,971300
3126.0,025,36,971400
4316.0,027,36,010000
4238.0,027,36,020003
2790.0,027,36,020004
5499.0,027,36,020005
4286.0,027,36,030000
4686.0,027,36,040001
3844.0,027,36,040003
3935.0,027,36,050102
5472.0,027,36,050103
6992.0,027,36,050104
4771.0,027,36,050203
2711.0,027,36,050204
5401.0,027,36,050205
4597.0,027,36,060100
3322.0,027,36,060201
4332.0,027,36,060202
4509.0,027,36,060301
2792.0,027,36,060302
2143.0,027,36,060400
4340.0,027,36,070101
3385.0,027,36,070102
2933.0,027,36,070201
5656.0,027,36,070301
4959.0,027,36,070401
4733.0,027,36,080103
3727.0,027,36,080104
4501.0,027,36,080201
2741.0,027,36,080202
2203.0,027,36,090000
2991.0,027,36,100000
4302.0,027,36,110003
2006.0,027,36,110004
2053.0,027,36,110005
2601.0,027,36,120000
5480.0,027,36,130003
1618.0,027,36,130004
2636.0,027,36,130005
6235.0,027,36,140101
6912.0,027,36,140200
5504.0,027,36,140300
5479.0,027,36,140400
2999.0,027,36,140500
2795.0,027,36,140602
6885.0,027,36,140700
2733.0,027,36,140801
3178.0,027,36,150003
3690.0,027,36,150004
2621.0,027,36,150005
1739.0,027,36,150006
2600.0,027,36,160003
2499.0,027,36,160004
2614.0,027,36,160005
3794.0,027,36,170000
4842.0,027,36,180001
3974.0,027,36,190101
1837.0,027,36,190102
2736.0,027,36,190203
5064.0,027,36,190204
3493.0,027,36,190301
2006.0,027,36,190401
3332.0,027,36,190402
3189.0,027,36,200001
1491.0,027,36,200002
5309.0,027,36,210101
3881.0,027,36,210201
4274.0,027,36,210301
4232.0,027,36,220100
3185.0,027,36,220201
4904.0,027,36,220300
2355.0,027,36,220700
4346.0,027,36,220801
3831.0,027,36,220901
3649.0,027,36,221001
4009.0,027,36,221100
5429.0,027,36,300000
4184.0,027,36,410000
1953.0,027,36,610000
1153.0,027,36,640001
1469.0,027,36,640002
2934.0,029,36,000110
4146.0,029,36,000200
1971.0,029,36,000500
4686.0,029,36,000600
3659.0,029,36,000700
4603.0,029,36,000800
2485.0,029,36,000900
5679.0,029,36,001000
2843.0,029,36,001100
2743.0,029,36,001402
1428.0,029,36,001500
1993.0,029,36,001600
1730.0,029,36,001700
3052.0,029,36,001900
3775.0,029,36,002300
4077.0,029,36,002400
2029.0,029,36,002502
2442.0,029,36,002702
2126.0,029,36,002800
1938.0,029,36,002900
2630.0,029,36,003000
2296.0,029,36,003100
3828.0,029,36,003301
3126.0,029,36,003302
2545.0,029,36,003400
3059.0,029,36,003500
2847.0,029,36,003600
4165.0,029,36,003700
2977.0,029,36,003800
991.0,029,36,003901
4467.0,029,36,004001
4435.0,029,36,004100
3678.0,029,36,004200
5869.0,029,36,004300
4551.0,029,36,004401
2614.0,029,36,004402
5878.0,029,36,004500
3224.0,029,36,004601
1154.0,029,36,004602
5999.0,029,36,004700
4082.0,029,36,004800
6158.0,029,36,004900
2340.0,029,36,005000
4410.0,029,36,005100
2811.0,029,36,005201
3456.0,029,36,005202
1672.0,029,36,005300
3895.0,029,36,005400
3852.0,029,36,005500
4293.0,029,36,005600
2616.0,029,36,005700
3392.0,029,36,005801
4695.0,029,36,005802
3978.0,029,36,005900
4783.0,029,36,006100
2028.0,029,36,006201
4524.0,029,36,006301
2685.0,029,36,006302
2920.0,029,36,006501
2522.0,029,36,006601
2381.0,029,36,006602
2867.0,029,36,006701
2862.0,029,36,006702
3363.0,029,36,006800
3363.0,029,36,006901
4096.0,029,36,006902
2996.0,029,36,007000
3576.0,029,36,007101
2764.0,029,36,007102
1847.0,029,36,007202
8013.0,029,36,007302
7339.0,029,36,007303
5383.0,029,36,007304
3168.0,029,36,007600
4280.0,029,36,007700
5128.0,029,36,007800
3181.0,029,36,007901
5894.0,029,36,007902
3404.0,029,36,007903
3375.0,029,36,007904
4282.0,029,36,007905
5763.0,029,36,008001
5646.0,029,36,008002
5363.0,029,36,008003
5592.0,029,36,008101
4282.0,029,36,008102
2404.0,029,36,008201
3760.0,029,36,008202
2386.0,029,36,008300
2512.0,029,36,008400
2496.0,029,36,008500
4570.0,029,36,008600
4694.0,029,36,008700
3543.0,029,36,008800
4301.0,029,36,008900
3559.0,029,36,009004
7492.0,029,36,009006
7346.0,029,36,009007
4913.0,029,36,009008
5316.0,029,36,009009
5963.0,029,36,009010
4371.0,029,36,009104
2904.0,029,36,009106
5057.0,029,36,009107
3146.0,029,36,009109
5841.0,029,36,009110
3033.0,029,36,009112
6906.0,029,36,009113
4319.0,029,36,009114
3871.0,029,36,009115
5380.0,029,36,009116
3882.0,029,36,009200
5566.0,029,36,009301
2796.0,029,36,009302
6048.0,029,36,009401
4289.0,029,36,009402
5158.0,029,36,009501
6785.0,029,36,009502
6405.0,029,36,009600
2911.0,029,36,009701
4611.0,029,36,009702
1790.0,029,36,009800
3606.0,029,36,009900
2954.0,029,36,010001
4395.0,029,36,010002
3766.0,029,36,010003
4309.0,029,36,010101
3664.0,029,36,010102
4177.0,029,36,010103
2857.0,029,36,010201
3568.0,029,36,010202
1510.0,029,36,010300
2307.0,029,36,010400
2197.0,029,36,010500
2591.0,029,36,010600
2239.0,029,36,010700
2027.0,029,36,010803
3797.0,029,36,010804
5020.0,029,36,010805
5171.0,029,36,010807
3876.0,029,36,010808
3236.0,029,36,010809
2348.0,029,36,010901
4604.0,029,36,010902
1880.0,029,36,011000
2180.0,029,36,011100
6734.0,029,36,011200
4862.0,029,36,011300
2289.0,029,36,011400
1516.0,029,36,011500
2123.0,029,36,011600
3964.0,029,36,011700
3724.0,029,36,011800
4465.0,029,36,012001
3383.0,029,36,012002
5048.0,029,36,012003
3077.0,029,36,012300
2133.0,029,36,012400
4562.0,029,36,012501
1914.0,029,36,012502
2616.0,029,36,012800
6785.0,029,36,012901
3345.0,029,36,012902
3053.0,029,36,013001
5910.0,029,36,013002
6488.0,029,36,013101
8384.0,029,36,013102
6021.0,029,36,013201
5229.0,029,36,013202
3626.0,029,36,013300
6477.0,029,36,013400
7088.0,029,36,013501
7200.0,029,36,013502
2846.0,029,36,013600
6291.0,029,36,013701
6096.0,029,36,013702
7942.0,029,36,013800
2109.0,029,36,013900
3768.0,029,36,014000
6232.0,029,36,014101
5470.0,029,36,014102
4082.0,029,36,014204
7418.0,029,36,014206
5425.0,029,36,014207
5628.0,029,36,014208
3939.0,029,36,014209
6180.0,029,36,014300
4040.0,029,36,014400
3661.0,029,36,014501
2352.0,029,36,014502
5446.0,029,36,014601
4319.0,029,36,014603
8233.0,029,36,014604
5344.0,029,36,014701
8344.0,029,36,014702
2461.0,029,36,014801
6226.0,029,36,014803
2596.0,029,36,014901
5587.0,029,36,014903
2052.0,029,36,014904
5364.0,029,36,015001
3037.0,029,36,015002
3386.0,029,36,015003
3294.0,029,36,015101
2786.0,029,36,015102
3316.0,029,36,015201
4718.0,029,36,015202
4872.0,029,36,015301
2821.0,029,36,015302
2590.0,029,36,015401
4959.0,029,36,015402
1879.0,029,36,015501
2641.0,029,36,015503
4230.0,029,36,015504
2113.0,029,36,015600
3522.0,029,36,015700
4217.0,029,36,015800
4334.0,029,36,015900
2683.0,029,36,016100
2066.0,029,36,016200
2425.0,029,36,016300
2944.0,029,36,016400
1611.0,029,36,016500
2692.0,029,36,016600
2128.0,029,36,016700
3192.0,029,36,016800
3647.0,029,36,016900
2956.0,029,36,017000
5495.0,029,36,017100
2415.0,029,36,017200
7089.0,029,36,017300
4240.0,029,36,017400
1383.0,029,36,017501
2509.0,029,36,017502
1874.0,029,36,940000
3.0,029,36,940100
0.0,029,36,990000
2657.0,031,36,960100
2911.0,031,36,960200
2968.0,031,36,960300
2512.0,031,36,960498
6071.0,031,36,960598
1903.0,031,36,960700
2031.0,031,36,960800
3684.0,031,36,960900
4753.0,031,36,961000
1859.0,031,36,961100
4971.0,031,36,961200
1011.0,031,36,961300
1267.0,031,36,961400
3284.0,033,36,940000
4543.0,033,36,950100
4859.0,033,36,950200
5881.0,033,36,950300
5125.0,033,36,950400
3548.0,033,36,950501
5673.0,033,36,950502
1699.0,033,36,950600
2364.0,033,36,950700
2501.0,033,36,950800
3536.0,033,36,950900
2110.0,033,36,951000
3674.0,033,36,951100
2210.0,033,36,951200
2610.0,035,36,970100
2949.0,035,36,970200
3377.0,035,36,970300
1820.0,035,36,970400
3971.0,035,36,970500
7328.0,035,36,970600
3681.0,035,36,970700
3027.0,035,36,970800
3234.0,035,36,970900
2829.0,035,36,971000
2387.0,035,36,971100
3610.0,035,36,971200
4773.0,035,36,971300
3514.0,035,36,971400
5187.0,035,36,971500
535.0,037,36,940100
5355.0,037,36,950100
5474.0,037,36,950200
6141.0,037,36,950300
6869.0,037,36,950400
2974.0,037,36,950500
2459.0,037,36,950600
2276.0,037,36,950700
2578.0,037,36,950800
2217.0,037,36,950900
2508.0,037,36,951000
5072.0,037,36,951100
4760.0,037,36,951200
4276.0,037,36,951300
5559.0,037,36,951400
3278.0,039,36,080100
3637.0,039,36,080201
2673.0,039,36,080202
3179.0,039,36,080300
2667.0,039,36,080401
1950.0,039,36,080402
2609.0,039,36,080501
3911.0,039,36,080502
3356.0,039,36,080600
2692.0,039,36,080700
2631.0,039,36,080800
3979.0,039,36,080900
4358.0,039,36,081000
4049.0,039,36,081101
3100.0,039,36,081102
874.0,041,36,950100
1032.0,041,36,950300
1748.0,041,36,950400
1043.0,041,36,950500
6296.0,043,36,010100
3473.0,043,36,010201
4055.0,043,36,010202
5175.0,043,36,010300
3513.0,043,36,010400
2513.0,043,36,010501
1743.0,043,36,010502
2962.0,043,36,010701
1857.0,043,36,010702
3452.0,043,36,010900
2362.0,043,36,011001
3169.0,043,36,011002
1918.0,043,36,011100
6402.0,043,36,011200
1656.0,043,36,011301
3411.0,043,36,011302
4616.0,043,36,011400
3127.0,043,36,011501
1858.0,043,36,011502
4266.0,045,36,060100
7452.0,045,36,060200
4182.0,045,36,060300
6856.0,045,36,060400
4996.0,045,36,060500
6634.0,045,36,060600
4714.0,045,36,060700
7000.0,045,36,060803
7035.0,045,36,060804
6224.0,045,36,060900
3628.0,045,36,061000
5852.0,045,36,061100
3257.0,045,36,061200
3064.0,045,36,061300
4020.0,045,36,061400
4158.0,045,36,061500
4204.0,045,36,061600
2393.0,045,36,061700
7355.0,045,36,061800
3829.0,045,36,061900
4277.0,045,36,062100
4392.0,045,36,062200
4926.0,045,36,062400
3130.0,045,36,062500
122.0,045,36,980000
0.0,045,36,990001
4224.0,047,36,000100
1638.0,047,36,000200
4246.0,047,36,000301
4697.0,047,36,000501
2618.0,047,36,000502
4110.0,047,36,000700
4245.0,047,36,000900
1124.0,047,36,001100
2565.0,047,36,001300
6390.0,047,36,001500
2073.0,047,36,001800
1265.0,047,36,002000
4628.0,047,36,002100
4976.0,047,36,002200
4389.0,047,36,002300
4074.0,047,36,002901
1792.0,047,36,003000
2879.0,047,36,003100
3171.0,047,36,003300
2829.0,047,36,003400
1589.0,047,36,003500
4342.0,047,36,003600
1214.0,047,36,003700
1459.0,047,36,003800
2458.0,047,36,003900
3653.0,047,36,004100
3260.0,047,36,004300
2255.0,047,36,004400
3465.0,047,36,004500
1338.0,047,36,004600
2142.0,047,36,004700
2599.0,047,36,004900
2449.0,047,36,005000
2392.0,047,36,005100
1623.0,047,36,005201
2464.0,047,36,005202
2424.0,047,36,005300
3160.0,047,36,005400
2310.0,047,36,005601
1622.0,047,36,005602
3106.0,047,36,005800
1397.0,047,36,005900
2541.0,047,36,006000
2916.0,047,36,006200
1885.0,047,36,006300
2975.0,047,36,006400
5763.0,047,36,006500
3528.0,047,36,006600
3867.0,047,36,006700
4731.0,047,36,006800
3417.0,047,36,006900
2470.0,047,36,007000
4943.0,047,36,007100
2127.0,047,36,007200
5767.0,047,36,007400
4543.0,047,36,007500
4936.0,047,36,007600
4705.0,047,36,007700
5518.0,047,36,007800
4133.0,047,36,008000
4306.0,047,36,008200
3784.0,047,36,008400
7281.0,047,36,008500
0.0,047,36,008600
3399.0,047,36,008800
3206.0,047,36,009000
5488.0,047,36,009200
5571.0,047,36,009400
6103.0,047,36,009600
