rsid,bbl,tid,longi,lat,street,inaddress,type1,type2,outadd,tigerlineid
10531,3051250082,36047014700,-73.98992,40.659245,L,"359 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"359 21ST ST, BROOKLYN, NY, 11215",59075773
10532,3051250084,36047014700,-73.990074,40.659336,L,"351 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"351 21ST ST, BROOKLYN, NY, 11215",59075773
10533,3051260054,36047079400,-73.95572,40.64749,R,"2322 BEDFORD AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"2322 BEDFORD AVE, BROOKLYN, NY, 11226",59081367
10534,3051260058,36047079400,-73.95571,40.64737,R,"2334 BEDFORD AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"2334 BEDFORD AVE, BROOKLYN, NY, 11226",59081367
10535,3051260059,36047079400,-73.95662,40.646595,L,"2225 TILDEN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"2225 TILDEN AVE, BROOKLYN, NY, 11226",636408552
10536,3051270037,36047079400,-73.9549,40.647377,L,"41 OAKLAND PL,, BROOKLYN,, NY,, 11226",Match,Exact,"41 OAKLAND PL, BROOKLYN, NY, 11226",59081387
10537,3051270005,36047079400,-73.95494,40.647694,R,"12 OAKLAND PL,, BROOKLYN,, NY,, 11226",Match,Exact,"12 OAKLAND PL, BROOKLYN, NY, 11226",59081387
10538,3051270005,36000000000,,,,"2 OAKLAND PL,, BROOKLYN,, NY,, 11226",Tie,,,
10539,3051280001,36047079400,-73.954025,40.647938,R,"2506 ALBEMARLE RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2506 ALBEMARLE RD, BROOKLYN, NY, 11226",59081400
10540,3051280051,36047079400,-73.95268,40.647995,R,"2608 ALBEMARLE RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2608 ALBEMARLE RD, BROOKLYN, NY, 11226",59081404
10541,3051290022,36047082400,-73.95178,40.64679,L,"2723 TILDEN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"2723 TILDEN AVE, BROOKLYN, NY, 11226",59081485
